own_name,own_price_aud,own_year,own_ref,own_url,comp_source,comp_name,comp_price_aud,comp_year,comp_ref,comp_url,price_diff_aud,match_score,match_type
Breitling Avenger Automatic GMT 43 2025,4250.0,2025,A32397,https://www.tellthetimeco.com/product-page/bretling-avenger-automatic-gmt-43-2025,watchkingdom,2023 Breitling Avenger U80182 Limited A000449,21995.0,2023,UB0182,https://watchkingdom.com.au/products/2023-breitling-avenger-u80182-limited-250-pieces-worldwide,17745.0,75,similar-model
Omega Speedmaster ‘First Omega In Space’ 2025,9750.0,2025,310.32.40.50.06.001,https://www.tellthetimeco.com/product-page/omega-speedmaster-first-omega-in-space-2025,gpwatches,Speedmaster First Omega In Space Ref 310.30.40.50.06.001 2025,10500.0,2025,310.30.40.50.06.001,https://gpwatches.com.au/products/speedmaster-first-omega-in-space-ref-310-30-40-50-06-001-2025,750.0,85,similar-model
Omega Speedmaster ‘First Omega In Space’ 2025,9750.0,2025,310.32.40.50.06.001,https://www.tellthetimeco.com/product-page/omega-speedmaster-first-omega-in-space-2025,gpwatches,Speedmaster Professional Moonwatch Sapphire White Ref 310.30.42.50.04.001 2025,10950.0,2025,310.30.42.50.04.001,https://gpwatches.com.au/products/speedmaster-professional-moonwatch-sapphire-white-ref-310-30-42-50-04-001-2026,1200.0,85,similar-model
Omega Speedmaster ‘First Omega In Space’ 2025,9750.0,2025,310.32.40.50.06.001,https://www.tellthetimeco.com/product-page/omega-speedmaster-first-omega-in-space-2025,watchconnect,Omega Speedmaster Pilot Co-Axial 2025,10990.0,2025,332.10.41.51.01.002,https://www.watchconnect.com.au/product/omega-speedmaster-pilot-co-axial-2025/,1240.0,85,similar-model
Omega Speedmaster ‘First Omega In Space’ 2025,9750.0,2025,310.32.40.50.06.001,https://www.tellthetimeco.com/product-page/omega-speedmaster-first-omega-in-space-2025,thewatchgallery,Omega ref 33120425102001 Steel & 18k YG Auto 41.5mm Silver Dial Speedmaster ’57 Chrono on Brac w/B&P,36.0,2025,Speedmaster '57 Chronograph,https://www.thewatchgallery.com.au/product/omega-ref-33120425102001-steel-18k-yg-auto-41-5mm-silver-dial-speedmaster-57-chrono-on-brac-w-bp/,-9714.0,85,similar-model
Omega Speedmaster ‘First Omega In Space’ 2025,9750.0,2025,310.32.40.50.06.001,https://www.tellthetimeco.com/product-page/omega-speedmaster-first-omega-in-space-2025,vintagewatchco,Omega Speedmaster Professional Snoopy,21800.0,2025,31032425002001,https://vintagewatchco.com.au/omega-speedmaster-professional-snoopy-12342.html,12050.0,85,similar-model
Rolex Datejust 31 Dark Grey Diamond Dial 2026,19950.0,2026,278274,https://www.tellthetimeco.com/product-page/rolex-datejust-31-dark-grey-diamond-dial-2026,watchkingdom,2026 Rolex Datejust 31 Grey Diamond Dial Fluted Jubilee Ref.278273 A001444,34995.0,2026,278273,https://watchkingdom.com.au/products/2026-rolex-datejust-31-grey-diamond-fluted-jubilee-ref-278273-a001444,15045.0,103,similar-model
Rolex Datejust 31 Dark Grey Diamond Dial 2026,19950.0,2026,278274,https://www.tellthetimeco.com/product-page/rolex-datejust-31-dark-grey-diamond-dial-2026,watchkingdom,2025 Rolex Datejust 31 Black MOP Dial Ref. 278273 A001117,34995.0,2025,278273,https://watchkingdom.com.au/products/2025-rolex-datejust-31-black-mop-yg-fluted-jubilee-ref-278273-a001115,15045.0,98,similar-model
Rolex Datejust 31 Dark Grey Diamond Dial 2026,19950.0,2026,278274,https://www.tellthetimeco.com/product-page/rolex-datejust-31-dark-grey-diamond-dial-2026,watchkingdom,2025 Rolex Datejust 31 MOP RBR 2T YG Fluted Jubilee Ref.278383RBR A001461,44995.0,2025,278383RBR,https://watchkingdom.com.au/products/2025-rolex-datejust-31-mop-rbr-2t-yg-fluted-jubilee-ref-278383rbr-a001461,25045.0,98,similar-model
Rolex Datejust 31 Dark Grey Diamond Dial 2026,19950.0,2026,278274,https://www.tellthetimeco.com/product-page/rolex-datejust-31-dark-grey-diamond-dial-2026,watchkingdom,2025 Rolex Datejust 36mm Wimbolden Smooth Oyster Ref. 126200 A001137,16995.0,2025,126200,https://watchkingdom.com.au/products/2025-rolex-datejust-36mm-wimbolden-smooth-oyster-126200-a001137,-2955.0,88,similar-model
